POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
688,4,1,0,18,18-21,21231,DOWNTOWN,NO,NO,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
689,4,0,2,14,14-15,21224,EAST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
690,4,1,3,18,18-21,21203,DOWNTOWN,NO,YES,YES,"CAMP COUNSELOR,
BUSINESS/FINANCE,
NURSING,
CUSTODIAL,
STEM,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
691,9,1,6,14,14-15,21215,WEST,NO,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
NURSING,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
692,8,4,7,18,18-21,21224,EAST,NO,NO,YES,"MUSICAL ARTS,
TEACHER'S AIDE,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
693,8,1,6,14,14-15,21201,DOWNTOWN,NO,YES,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
ELECTRICAL/CARPENTRY,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
694,6,2,2,18,18-21,21211,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
695,5,1,2,14,14-21,21201,DOWNTOWN,NO,YES,YES,"VISUAL ARTS,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
696,7,1,5,16,16-17,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
697,5,1,0,16,16-21,21223,WEST,NO,YES,NO,"VISUAL ARTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
698,1,0,1,19,18-21,21163,WEST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
699,11,3,0,16,16-21,21229,WEST,NO,NO,YES,"COMPUTER INFORMATION TECH,
CUSTODIAL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
700,10,4,1,16,16-21,21201,DOWNTOWN,YES,NO,NO,"BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
701,1,0,1,16,16-17,21163,WEST,NO,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
702,1,0,0,14,14-21,21220,EAST,NO,YES,NO,"TEACHER'S AIDE,
COMMUNITY SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,
CONSTRUCTION/MANUFACTURING,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
703,9,4,8,15,16-21,21229,WEST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
704,1,0,0,16,16-17,21226,SOUTH,YES,NO,NO,"PRE-SCHOOL CHILDCARE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
705,8,1,4,17,16-17,21217,WEST,NO,NO,NO,"MUSICAL ARTS,
BUSINESS/FINANCE,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
706,9,1,2,14,14-21,21215,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
707,10,7,5,18,18-21,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
COMMUNITY SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
708,11,4,5,16,16-21,21217,WEST,NO,NO,NO,"MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
709,5,1,3,17,16-21,21224,EAST,YES,YES,YES,"VISUAL ARTS,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
STEM,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,
STEM,
CLERICAL OFFICE WORK,","MICROSOFT, POETRY",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
710,3,2,2,16,16-21,21215,WEST,NO,YES,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
711,13,9,12,18,18-21,21229,WEST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
712,4,1,3,14,14-21,21205,EAST,NO,NO,NO,"CONSTRUCTION/MANUFACTURING,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
713,6,4,4,16,16-21,21211,WEST,YES,NO,NO,"TEACHER'S AIDE,
NURSING,
COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
714,6,3,4,16,16-21,21215,WEST,NO,NO,NO,"MUSICAL ARTS,
GRAPHIC DESIGN,","PLAYS INSTRUMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
715,6,5,2,18,18-21,21205,EAST,YES,YES,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CAMP COUNSELOR,
CLERICAL OFFICE WORK,
GRAPHIC DESIGN,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
716,2,0,1,18,18-21,21163,WEST,NO,YES,NO,"BUSINESS/FINANCE,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
717,9,7,5,16,16-21,21216,WEST,NO,YES,YES,"MUSICAL ARTS,
CUSTODIAL,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
718,2,0,0,14,14-21,21212,EAST,NO,YES,YES,"TEACHER'S AIDE,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
719,7,1,6,16,16-17,21215,WEST,YES,NO,YES,"ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
720,8,3,6,16,16-21,21214,EAST,NO,NO,NO,"CAMP COUNSELOR,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
GRAPHIC DESIGN,","VISUAL ARTS, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
721,2,0,2,14,14-21,21220,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
722,13,2,12,14,14-21,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
723,1,0,1,17,16-21,21163,WEST,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
TEACHER'S AIDE,
COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
724,8,2,6,15,16-21,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
STEM,
STEM,
ARCHITECTURE,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
725,1,1,0,16,16-17,21163,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
726,10,0,0,18,18-21,21216,WEST,NO,YES,YES,"TEACHER'S AIDE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
727,1,0,0,16,16-17,21163,WEST,NO,YES,YES,"CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
728,3,2,1,18,18-21,21214,EAST,NO,YES,YES,"CAMP COUNSELOR,
COMMUNITY SERVICE,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
729,7,0,3,16,16-17,21214,EAST,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
COMMUNITY SERVICE,
CUSTODIAL,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
730,9,3,8,15,16-17,21216,WEST,NO,NO,YES,"TEACHER'S AIDE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
STEM,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
731,5,1,5,14,14-15,21216,WEST,NO,NO,NO,"COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
732,13,5,6,14,14-21,21201,DOWNTOWN,NO,NO,NO,"COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
733,14,3,4,16,16-17,21217,WEST,NO,YES,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
734,8,2,6,18,18-21,21217,WEST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
735,3,1,1,15,16-17,21220,EAST,NO,NO,YES,"VISUAL ARTS,
CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
CUSTODIAL,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
736,5,1,5,14,14-15,21212,EAST,YES,NO,NO,"RECREATION AND SPORTS,
NURSING,
COMMUNITY SERVICE,
GRAPHIC DESIGN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
737,1,0,1,14,14-15,21226,SOUTH,YES,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
738,11,0,6,16,16-21,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
739,12,3,9,16,16-21,21229,WEST,NO,YES,NO,"TEACHER'S AIDE,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
740,1,0,1,14,14-15,21163,WEST,YES,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CUSTODIAL,
STEM,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
741,10,3,4,14,14-21,21224,EAST,YES,NO,NO,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
742,4,1,4,16,16-17,21223,WEST,NO,YES,YES,"CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
743,7,4,0,14,14-15,21230,SOUTH,NO,NO,NO,"TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
744,14,4,8,16,16-17,21229,WEST,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
745,14,11,4,16,16-21,21217,WEST,YES,YES,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
746,14,1,14,16,16-21,21217,WEST,NO,YES,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
747,16,2,3,14,14-15,21217,WEST,YES,NO,YES,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
LEGAL,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
748,6,4,4,16,16-21,21212,EAST,YES,NO,NO,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
749,1,0,0,16,16-21,21220,EAST,NO,NO,NO,"MUSICAL ARTS,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
750,1,0,0,16,16-17,21203,DOWNTOWN,NO,NO,YES,"ENVIRONMENTAL/GREEN,
NURSING,
COMPUTER INFORMATION TECH,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
751,6,0,4,16,16-21,21224,EAST,NO,YES,YES,"CUSTODIAL,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
752,8,1,6,16,16-17,21229,WEST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
NURSING,
CUSTODIAL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
753,9,0,6,15,16-17,21224,EAST,NO,YES,YES,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
754,12,1,9,16,16-17,21207,WEST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
755,5,3,1,18,18-21,21215,WEST,NO,NO,NO,"RECREATION AND SPORTS,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
756,15,0,5,16,16-21,21206,EAST,YES,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
757,16,2,15,15,16-21,21208,NORTH,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
CONSTRUCTION/MANUFACTURING,
HOSPITALITY/TRAVEL,
ELDERLY SERVICES,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
